"Accession Register for Works of Art",,,,,
ID,Date,Type,Artist,Title,"Accession #"
1,19-Nov-02,D,"Bruce SMITH","Winter Farm",100213
2,27-Nov-02,D,"Bruce SMITH","Keswick Farm",100214
3,27-Nov-02,D,"Bruce SMITH","Markham Landscape",100215
4,27-Nov-02,D,"Bruce SMITH","The Letter Box",100216
5,27-Nov-02,D,"Bruce SMITH","Scollard Street Deli",100217
6,09-Jul-03,P,"David CARLIN","Lake Spirit, Paddle Spirit",100218
7,09-Jul-03,P,"David GRIFFIN",Fry,100219
8,09-Jul-03,P,"Piera PUGLIESE","Balsam Lake",100220
9,07-Aug-03,C,"Brenda BURY","The Hon. Hilary M. Weston",100221
10,03-Sep-03,D,"Alan Dent WILSON","Afternoon Sunlight (Credit River)",100222
11,03-Sep-03,D,"Alan Dent WILSON","Almelo, Holland",100223
12,03-Sep-03,D,"Alan Dent WILSON","An August Afternoon",100224
13,03-Sep-03,D,"Alan Dent WILSON","Arizona Highway",100225
14,03-Sep-03,D,"Alan Dent WILSON","Arizona. Visited Red Rock Country",100226
15,03-Sep-03,D,"Alan Dent WILSON","Art Gallery Opening",100227
16,03-Sep-03,D,"Alan Dent WILSON","B.& L. Linoleum Print",100228
17,03-Sep-03,D,"Alan Dent WILSON","Birds in Flight",100229
18,03-Sep-03,D,"Alan Dent WILSON","Birds of California",100230
19,03-Sep-03,D,"Alan Dent WILSON","Canoe Trip",100231
20,03-Sep-03,D,"Alan Dent WILSON","Century House",100232
21,03-Sep-03,D,"Alan Dent WILSON","Closed Mine, Elliot Lake",100233
22,03-Sep-03,D,"Alan Dent WILSON","Coniston Mine, Sudbury",100234
23,03-Sep-03,D,"Alan Dent WILSON","Country Road, Barrie",100235
24,03-Sep-03,D,"Alan Dent WILSON","Country Road. Ontario Date",100236
25,03-Sep-03,D,"Alan Dent WILSON","Dogs Playing on the Ice ",100237
26,03-Sep-03,D,"Alan Dent WILSON","Early Snow, Algoma",100238
27,03-Sep-03,D,"Alan Dent WILSON","Edge of the Park, High Park",100239
28,03-Sep-03,D,"Alan Dent WILSON","Edge of the Woods (Fenelon Falls)",100240
29,03-Sep-03,D,"Alan Dent WILSON","Elliot Lake Highway",100241
30,03-Sep-03,D,"Alan Dent WILSON","Etching Intaglio Frame",100242
31,03-Sep-03,D,"Alan Dent WILSON","Everglades, Florida",100243
32,03-Sep-03,D,"Alan Dent WILSON","The Factory (Flour Mill)",100244
33,03-Sep-03,D,"Alan Dent WILSON","Fall in Ontario",100245
34,03-Sep-03,D,"Alan Dent WILSON","The Farm Road (oil)",100246
35,03-Sep-03,D,"Alan Dent WILSON","The Farm Road (w/c)",100247
36,03-Sep-03,D,"Alan Dent WILSON","Fog Over the Rockies",100248
